student_code,Course,Section,Year,YearSub,school_code
201260116,366310,2,2018,2017,61
200660163,432000,3,2018,2017,62
201060086,431000,3,2018,2017,62
200660018,439070,1,2018,2017,62
201260159,366310,3,2018,2017,61
200660305,432000,3,2018,2017,62
201760116,233310,2,2018,2017,60
201660029,222310,3,2018,2017,60
200760147,430000,2,2018,2017,62
201361033,972300,1,2018,2017,62
201260167,430000,1,2018,2017,61
201060008,38831R,2,2018,2017,61
201260248,377310,1,2018,2017,61
201661021,388310,1,2018,2017,61
201760184,200310,4,2018,2017,60
201060021,388310,3,2018,2017,61
201461022,432000,4,2018,2017,62
201760011,211310,1,2018,2017,60
201561006,43200R,1,2018,2017,62
201060007,388310,1,2018,2017,61
201760153,200310,1,2018,2017,60
200660034,432000,2,2018,2017,62
201460017,244310,4,2018,2017,60
201260168,43100P,1,2018,2017,62
201760199,222310,3,2018,2017,60
201760091,222310,1,2018,2017,60
201160015,37731P,1,2018,2017,61
200760129,43100R,1,2018,2017,62
201660031,222310,1,2018,2017,60
200760189,439070,2,2018,2017,62
201560061,430000,1,2018,2017,61
201660090,233310,4,2018,2017,60
201261005,432000,1,2018,2017,62
201360009,355310,3,2018,2017,61
201360077,355310,3,2018,2017,61
200760182,432000,3,2018,2017,62
201060023,388310,2,2018,2017,61
200660304,432000,3,2018,2017,62
200660271,439070,2,2018,2017,62
201360051,355310,4,2018,2017,61
201560084,233310,3,2018,2017,60
200660029,539900,14,2018,2017,62
201561007,430000,3,2018,2017,62
201460064,366310,1,2018,2017,61
200760254,972307,1,2018,2017,61
201460174,211310,1,2018,2017,60
201460137,222310,1,2018,2017,60
200660052,433000,1,2018,2017,62
201361047,432000,3,2018,2017,62
201660057,355310,2,2018,2017,61
201160056,377310,1,2018,2017,61
201360045,355310,2,2018,2017,61
201361032,432000,3,2018,2017,62
201461007,431000,2,2018,2017,62
200760277,355310,4,2018,2017,61
200760229,972306,1,2018,2017,61
200760123,972300,4,2018,2017,62
201060069,388310,3,2018,2017,61
200760168,430000,3,2018,2017,62
201760170,200310,2,2018,2017,60
201060002,430000,1,2018,2017,62
201760207,200310,3,2018,2017,60
201460056,244310,2,2018,2017,60
201361017,430000,2,2018,2017,62
201060088,377310,2,2018,2017,61
200660316,972300,4,2018,2017,62
201760033,200310,4,2018,2017,60
201060025,430000,1,2018,2017,61
201260145,366310,2,2018,2017,61
200960111,377310,3,2018,2017,61
201761041,355310,2,2018,2017,61
201760077,200310,3,2018,2017,60
201260150,366310,4,2018,2017,61
201360043,355310,4,2018,2017,61
201760174,200310,4,2018,2017,60
201760163,200310,3,2018,2017,60
201760193,200310,2,2018,2017,60
201260139,366310,3,2018,2017,61
201160055,37731P,1,2018,2017,61
200660190,432000,1,2018,2017,62
201360030,244310,3,2018,2017,60
201460069,233310,2,2018,2017,60
201360027,355310,1,2018,2017,61
201762031,430000,1,2018,2017,62
201260193,431000,2,2018,2017,62
201760103,233310,3,2018,2017,60
201360017,355310,2,2018,2017,61
200760121,43100R,1,2018,2017,62
201660011,222310,1,2018,2017,60
200760152,43100R,1,2018,2017,62
200760225,37731P,1,2018,2017,61
200660032,432000,3,2018,2017,62
201060157,431000,3,2018,2017,62
201760081,200310,3,2018,2017,60
201760206,200310,1,2018,2017,60
201660051,222310,1,2018,2017,60
200660283,432000,2,2018,2017,62
201660023,222310,3,2018,2017,60
201460115,222310,4,2018,2017,60
201761059,355310,3,2018,2017,61
201261009,435000,1,2018,2017,62
201661020,377310,3,2018,2017,61
201660042,222310,4,2018,2017,60
201160102,233310,2,2018,2017,60
200660172,972300,2,2018,2017,62
201760185,200310,4,2018,2017,60
201662024,432000,3,2018,2017,62
201360054,355310,2,2018,2017,61
201661009,431000,1,2018,2017,62
200960135,433000,1,2018,2017,62
201160058,377310,3,2018,2017,61
200760167,433000,1,2018,2017,62
201760173,200310,1,2018,2017,60
200660278,432000,3,2018,2017,62
201561008,430000,1,2018,2017,61
201560041,233310,3,2018,2017,60
200960153,43000R,1,2018,2017,62
201060063,539900,8,2018,2017,62
201260109,366310,1,2018,2017,61
201461022,435000,1,2018,2017,62
200760091,431000,2,2018,2017,62
201760018,211310,2,2018,2017,60
201760155,200310,4,2018,2017,60
201361034,431000,2,2018,2017,62
201560042,233310,2,2018,2017,60
201760015,211310,1,2018,2017,60
200760019,430000,3,2018,2017,62
201760052,211310,1,2018,2017,60
201260184,211310,3,2018,2017,60
201760164,200310,2,2018,2017,60
201461029,43200P,1,2018,2017,62
201760181,200310,1,2018,2017,60
201661008,430000,1,2018,2017,61
200760119,43100R,1,2018,2017,62
200760076,355310,2,2018,2017,61
201260101,366310,4,2018,2017,61
201761024,377310,1,2018,2017,61
201560059,355310,4,2018,2017,61
201460065,366310,4,2018,2017,61
201260118,972306,1,2018,2017,61
201660044,222310,3,2018,2017,60
201260106,366310,4,2018,2017,61
201460114,233310,3,2018,2017,60
200660053,432000,1,2018,2017,62
